lines	n	af1	af2	beta3	pmin	p80	pmax
1000	50000	0.01	0.01	1.0	4.210861e-06	0.2289972	0.9926137
1000	50000	0.01	0.01	2.0	5.31059e-12	0.0004917992	0.1193006
1000	50000	0.01	0.01	5.0	1.705864e-25	3.618765e-15	1.193051e-09
1000	50000	0.05	0.01	0.1	6.381691e-05	0.8021327	0.998787
1000	50000	0.05	0.01	0.2	4.600843e-05	0.7484533	0.9977868
1000	50000	0.05	0.01	0.5	1.576062e-07	0.2116898	0.9967273
1000	50000	0.05	0.01	1.0	2.075381e-17	0.0002120497	0.07045493
1000	50000	0.05	0.01	2.0	1.82533e-35	2.884861e-18	2.724782e-12
1000	50000	0.05	0.01	5.0	5.442696e-85	1.11661e-64	9.219099e-53
1000	50000	0.05	0.05	0.1	2.075392e-05	0.6982344	0.9991455
1000	50000	0.05	0.05	0.2	1.973652e-06	0.3023071	0.989549
1000	50000	0.05	0.05	0.5	2.403363e-16	3.767257e-05	0.02834259
1000	50000	0.05	0.05	1.0	1.657346e-41	7.272483e-22	1.49926e-13
1000	50000	0.05	0.05	2.0	1.767388e-122	7.307906e-92	2.022585e-74
1000	50000	0.05	0.05	5.0	0	1.632536e-292	2.28089e-264
1000	50000	0.1	0.01	0.1	1.070545e-05	0.7577802	0.9997673
1000	50000	0.1	0.01	0.2	6.910803e-07	0.6208185	0.9969327
1000	50000	0.1	0.01	0.5	4.729453e-09	0.02711139	0.8692741
1000	50000	0.1	0.01	1.0	3.055309e-22	6.053557e-09	0.001149665
1000	50000	0.1	0.01	2.0	1.176842e-62	4.171755e-36	1.392699e-25
1000	50000	0.1	0.01	5.0	3.882023e-142	8.413887e-111	9.202269e-97
1000	50000	0.1	0.05	0.1	4.972637e-06	0.5809497	0.9975532
1000	50000	0.1	0.05	0.2	1.640872e-09	0.06791003	0.9286666
1000	50000	0.1	0.05	0.5	1.438032e-26	1.818934e-10	0.0007126142
1000	50000	0.1	0.05	1.0	2.414309e-74	1.841356e-47	4.077136e-35
1000	50000	0.1	0.05	2.0	6.124714e-226	1.319269e-179	1.55095e-157
1000	50000	0.1	0.05	5.0	0	0	0
1000	50000	0.1	0.1	0.1	1.898681e-06	0.2943216	0.9989269
1000	50000	0.1	0.1	0.2	1.182607e-12	0.001644885	0.6914195
1000	50000	0.1	0.1	0.5	1.513395e-41	2.801971e-22	2.36237e-12
1000	50000	0.1	0.1	1.0	4.4409e-137	1.677378e-99	6.863091e-77
1000	50000	0.1	0.1	2.0	0	0	7.077422e-304
1000	50000	0.1	0.1	5.0	0	0	0
1000	50000	0.2	0.01	0.1	0.0002603254	0.7202595	0.9999904
1000	50000	0.2	0.01	0.2	4.387949e-09	0.3812595	0.9937476
1000	50000	0.2	0.01	0.5	2.269686e-14	0.0001642353	0.08520405
1000	50000	0.2	0.01	1.0	1.219777e-36	1.892473e-19	2.03843e-12
1000	50000	0.2	0.01	2.0	4.484059e-98	1.532965e-69	5.237013e-56
1000	50000	0.2	0.01	5.0	2.774193e-214	1.231471e-171	1.87998e-149
1000	50000	0.2	0.05	0.1	1.409738e-07	0.2441517	0.9983811
1000	50000	0.2	0.05	0.2	3.095013e-13	0.001120711	0.3788099
1000	50000	0.2	0.05	0.5	8.91962e-46	4.860698e-23	2.167135e-12
1000	50000	0.2	0.05	1.0	4.785529e-144	4.065314e-101	3.191795e-81
1000	50000	0.2	0.05	2.0	0	0	2.561584e-314
1000	50000	0.2	0.05	5.0	0	0	0
1000	50000	0.2	0.1	0.1	2.747463e-10	0.04681943	0.9295571
1000	50000	0.2	0.1	0.2	2.617424e-22	4.573689e-07	0.001739224
1000	50000	0.2	0.1	0.5	2.633213e-78	2.035082e-50	3.237727e-37
1000	50000	0.2	0.1	1.0	3.413288e-259	2.341073e-210	1.125311e-188
1000	50000	0.2	0.1	2.0	0	0	0
1000	50000	0.2	0.1	5.0	0	0	0
1000	50000	0.2	0.2	0.1	3.59461e-14	0.0005034785	0.1631717
1000	50000	0.2	0.2	0.2	2.174935e-32	1.303946e-15	2.230419e-09
1000	50000	0.2	0.2	0.5	2.313651e-157	5.229477e-111	1.7185e-84
1000	50000	0.2	0.2	1.0	0	0	0
1000	50000	0.2	0.2	2.0	0	0	0
1000	50000	0.2	0.2	5.0	0	0	0
1000	500000	0.01	0.01	0.1	0.0005470783	0.7624238	0.9992069
1000	500000	0.01	0.01	0.2	7.946706e-08	0.6341157	0.9979458
1000	500000	0.01	0.01	0.5	1.937387e-08	0.0444749	0.9457401
1000	500000	0.01	0.01	1.0	3.887976e-19	7.514013e-08	0.00183858
1000	500000	0.01	0.01	2.0	1.590845e-56	1.703375e-37	1.817043e-24
1000	500000	0.01	0.01	5.0	2.958286e-183	3.17208e-149	9.407423e-131
1000	500000	0.05	0.01	0.1	1.18695e-05	0.6032255	0.9972781
1000	500000	0.05	0.01	0.2	8.408386e-08	0.1134618	0.9848096
1000	500000	0.05	0.01	0.5	7.481522e-21	8.325279e-09	0.005065608
1000	500000	0.05	0.01	1.0	2.851372e-69	6.03953e-42	2.396824e-30
1000	500000	0.05	0.01	2.0	6.760126e-240	6.288183e-189	2.93789e-166
1000	500000	0.05	0.01	5.0	0	0	0
1000	500000	0.05	0.05	0.1	1.198011e-09	0.05111269	0.9957472
1000	500000	0.05	0.05	0.2	1.206388e-20	1.300547e-06	0.004880635
1000	500000	0.05	0.05	0.5	3.762225e-78	5.499721e-48	7.608509e-33
1000	500000	0.05	0.05	1.0	8.931649e-280	1.162032e-227	2.64011e-198
1000	500000	0.05	0.05	2.0	0	0	0
1000	500000	0.05	0.05	5.0	0	0	0
